datahora;Cap-SP;Cases-SP;ICU-SP;Corrected-SP;Accum Corrected-SP;Ratio-SP
2020-07-28;8376;11090.285714285714;6035.469999999999;84286.17142857143;474751.3714285714;0.012766610228102552
2020-07-29;8376;10678.714285714286;6031.205714285714;81158.22857142857;505673.6;0.011966259319393829
2020-07-30;8376;10999.857142857143;6021.45;83598.91428571429;535031.3142857143;0.011292635612432435
2020-07-31;8376;11298.0;6008.36857142857;85864.8;560310.0;0.010767422480048397
2020-08-01;8376;10405.285714285714;5992.144285714286;79080.17142857143;566154.3999999999;0.010640657209339332
2020-08-02;8376;10671.857142857143;5971.184285714286;81106.11428571428;572418.9714285714;0.010506373924143246
2020-08-03;8376;10366.285714285714;5945.632857142858;78783.77142857142;573878.1714285715;0.010456538837881198
2020-08-04;8376;10755.42857142857;5918.204285714286;81741.25714285714;571333.2571428572;0.010473794528927423
2020-08-05;8376;10152.57142857143;5893.53;77159.54285714286;567334.5714285714;0.010512948591613185
2020-08-06;8376;9952.0;5877.264285714286;75635.2;559370.8571428572;0.010625797087194022
2020-08-07;8376;9439.285714285714;5861.651428571429;71738.57142857142;545244.6285714285;0.010862650124901063
2020-08-08;8376;9916.142857142857;5845.9571428571435;75362.6857142857;541527.1428571428;0.010898655465288454
2020-08-09;8376;9777.285714285714;5827.528571428572;74307.37142857142;534728.3999999999;0.010998846349294487
2020-08-10;8376;9742.42857142857;5803.1614285714295;74042.45714285714;529987.0857142857;0.01105884012452949
2020-08-11;8376;9139.0;5777.1614285714295;69456.4;517702.22857142857;0.011282341753686064
2020-08-12;8376;9988.0;5747.978571428573;75908.8;516451.4857142857;0.011269403940456658
2020-08-13;8376;10826.42857142857;5713.714285714285;82280.85714285713;523097.1428571428;0.011081567165110788
2020-08-14;8376;11106.142857142857;5677.91857142857;84406.6857142857;535765.2571428571;0.010770553884366417
2020-08-15;8376;10828.42857142857;5644.612857142856;82296.05714285713;542698.6285714285;0.010579951375876947
2020-08-16;8376;10338.142857142857;5617.184285714285;78569.8857142857;546961.1428571428;0.010442562498190373
2020-08-17;8376;10607.142857142857;5597.674285714286;80614.28571428571;553532.9714285714;0.01026555039274323
2020-08-18;8376;10281.142857142857;5580.36857142857;78136.6857142857;562213.2571428571;0.010057050905688718
2020-08-19;8376;9456.57142857143;5563.817142857142;71869.94285714286;558174.3999999999;0.010082688441871523
2020-08-20;8376;8053.285714285715;5545.388571428572;61204.97142857143;537098.5142857142;0.010433564591532845
2020-08-21;8376;7119.714285714285;5524.674285714284;54109.82857142857;506801.6571428571;0.011014091847033084
2020-08-22;8376;7387.714285714285;5498.734285714286;56146.62857142856;480652.22857142857;0.01156994573937611
2020-08-23;8376;7805.142857142857;5464.898571428571;59319.08571428571;461401.4285714286;0.012005522217804054
2020-08-24;8376;7687.857142857143;5423.9400000000005;58427.71428571428;439214.8571428571;0.012555463069350837
2020-08-25;8376;7734.285714285715;5379.837142857143;58780.57142857143;419858.7428571428;0.013066057727170283
2020-08-26;8376;7822.571428571428;5333.367142857142;59451.54285714286;407440.34285714285;0.013383498316878921
2020-08-27;8376;7660.714285714285;5288.2642857142855;58221.428571428565;404456.8;0.013391405712651676
2020-08-28;8376;8607.0;5247.081428571429;65413.2;415760.17142857146;0.01293194814962103
2020-08-29;8376;7454.0;5210.0;56650.399999999994;416263.9428571428;0.012817207245646127
2020-08-30;8376;7039.285714285715;5179.325714285714;53498.57142857143;410443.4285714285;0.012899573323585125
2020-08-31;8376;6837.428571428572;5154.7128571428575;51964.45714285714;403980.1714285714;0.013010747688545878
2020-09-01;8376;6957.857142857143;5135.427142857144;52879.71428571428;398079.3142857143;0.013115899721429732
2020-09-02;8376;7170.857142857143;5120.794285714285;54498.514285714286;393126.2857142857;0.013203901659476098
2020-09-03;8376;7646.428571428572;5107.325714285714;58112.85714285714;393017.71428571426;0.013141780284297308
2020-09-04;8376;6972.428571428572;5092.794285714285;52990.45714285714;380594.9714285714;0.013512820227937853
2020-09-05;8376;7380.428571428572;5077.08;56091.25714285714;380035.82857142854;0.013482736289375422
2020-09-06;8376;7474.0;5057.754285714285;56802.399999999994;383339.65714285715;0.013321229398139334
2020-09-07;8376;7569.714285714285;5033.978571428571;57529.82857142857;388905.02857142856;0.013086248264252795
2020-09-08;8376;6344.0;5004.182857142857;48214.399999999994;384239.71428571426;0.013196341718227981
2020-09-09;8376;5749.285714285715;4969.918571428571;43694.57142857143;373435.77142857143;0.013520410427325456
